Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,75 years and over,2018,fv1fvol,0.333115086812349,4.849034726362269,0.3014560507382221,0.3647741228864759,1584,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Gender,Male gender,2018,fv1fvol,0.4067346343727183,2.545622898521829,0.3864413044961996,0.42702796424923695,6309,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Gender,Female gender,2018,fv1fvol,0.4656714340269999,1.8906716322706039,0.4484152884211885,0.4829275796328113,7827,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Education,Less than High School,2018,fv1fvol,0.39713457557693865,4.9400939350536355,0.35868239283693193,0.4355867583169454,1318,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Education,Graduated from High school,2018,fv1fvol,0.3461717697463265,4.07859730234816,0.3184991314206589,0.37384440807199415,3108,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Education,Post-secondary diploma,2018,fv1fvol,0.41006902369126125,2.715055282436651,0.3882475673218536,0.4318904800606689,4465,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Education,University Diploma,2018,fv1fvol,0.5324840425941209,2.3373443383656256,0.5080903590223603,0.5568777261658814,3992,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Marital status (original),Married,2018,fv1fvol,0.4552381353934135,1.8449647878476694,0.43877643062088906,0.47169984016593797,7370,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Marital status (original),Living common-law,2018,fv1fvol,0.39946827053353956,5.502756247621175,0.3563848023973889,0.4425517386696902,1044,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Marital status (original),Widowed,2018,fv1fvol,0.3366207786971737,5.681428734802824,0.2991367229776427,0.3741048344167047,1257,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Marital status (original),Separated,2018,fv1fvol,0.40261606526545585,8.021695861678639,0.33931582140179417,0.4659163091291175,457,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Marital status (original),Divorced,2018,fv1fvol,0.4064558257421744,4.956607826715217,0.36696956563388466,0.4459420858504642,1186,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Marital status (original),"Single, never married",2018,fv1fvol,0.4363904608552229,3.481084402643312,0.4066164122461957,0.46616450946425003,2822,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Labour force status,Employed,2018,fv1fvol,0.4314967722870026,2.039906386531411,0.41424491407727426,0.44874863049673097,7544,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Labour force status,Unemployed,2018,fv1fvol,0.4192562976619727,10.86936518428729,0.32993976272445535,0.50857283259949,296,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Labour force status,Not in labour force,2018,fv1fvol,0.4204320082519948,2.6461450973997764,0.3986269366231167,0.44223707988087285,5062,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Labour force status,Unable to determine,2018,fv1fvol,0.548742204754933,4.355945978266605,0.5018933541911896,0.5955910553186763,1234,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Personal income category,"Less than $25,000",2018,fv1fvol,0.4328674501682763,2.9923636606617503,0.40748009885115605,0.4582548014853966,3961,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Personal income category,"$25,000 to $49,999",2018,fv1fvol,0.3880877295621545,2.8705983978143585,0.3662528681022567,0.40992259102205225,4156,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Personal income category,"$50,000 to $74,999",2018,fv1fvol,0.4431529074295701,3.1950995431103593,0.4154014313985225,0.4709043834606177,2841,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Personal income category,"$75,000 to $99,999",2018,fv1fvol,0.4823286237822284,3.6057114887822546,0.4482421480819816,0.5164150994824752,1632,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Personal income category,"$100,000 to $124,999",2018,fv1fvol,0.5547837212466842,4.679286925819777,0.5039032088208699,0.6056642336724984,698,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Personal income category,"$125,000 and more",2018,fv1fvol,0.5476429443465679,4.18711881943483,0.5027000670570173,0.5925858216361185,848,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Frequency of religious attendance,At least once a week,2018,fv1fvol,0.6382690073431834,2.6489830292795684,0.605130646415614,0.6714073682707528,2220,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Frequency of religious attendance,At least once a month,2018,fv1fvol,0.5195784068290394,4.847404764972588,0.47021461975409584,0.568942193903983,1106,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Frequency of religious attendance,At least 3 times a year,2018,fv1fvol,0.44044640840419197,5.800914348408683,0.39036948754802064,0.4905233292603633,1125,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Frequency of religious attendance,Once or twice a year,2018,fv1fvol,0.43517320824795724,4.310889927486886,0.3984046014092453,0.4719418150866692,1805,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Frequency of religious attendance,Not at all,2018,fv1fvol,0.34579944433860027,2.5680684296924343,0.3283942461032608,0.36320464257393975,6749,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Immigration status,Native-born,2018,fv1fvol,0.4547410304731908,1.7583445305836818,0.43906932693592793,0.4704127340104537,10472,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Immigration status,Naturalized,2018,fv1fvol,0.35507345762632625,3.9371338468130403,0.32767371524101335,0.38247320001163915,2280,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Immigration status,Non-Canadian,2018,fv1fvol,0.4137128061866036,10.81668902230097,0.3260043636057798,0.5014212487674274,274,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Immigration status,Unknown,2018,fv1fvol,0.5706584843458717,4.368609422184652,0.5217968951869025,0.619520073504841,1110,Formal volunteer flag,Volunteer rate,CA (without QC),NA,NA
Age group,15 to 24 years,2018,fv1fvol,0.4900126549551036,14.572195950416805,0.3500602423074648,0.6299650676027424,74,Formal volunteer flag,Volunteer rate,AB,NA,NA
Age group,25 to 34 years,2018,fv1fvol,0.3594423358607168,10.519734825375279,0.28533143174893805,0.4335532399724955,205,Formal volunteer flag,Volunteer rate,AB,NA,NA
Age group,35 to 44 years,2018,fv1fvol,0.520241953320721,7.495390986598255,0.44381478749733405,0.5966691191441079,258,Formal volunteer flag,Volunteer rate,AB,NA,NA
Age group,45 to 54 years,2018,fv1fvol,0.5035013852588666,9.06021774787392,0.41409111736240145,0.5929116531553317,241,Formal volunteer flag,Volunteer rate,AB,NA,NA
Age group,55 to 64 years,2018,fv1fvol,0.4751823416380922,7.0885554969431315,0.4091637693297097,0.5412009139464747,320,Formal volunteer flag,Volunteer rate,AB,NA,NA
Age group,65 to 74 years,2018,fv1fvol,0.4458401503436629,9.229621820290017,0.36518888714930686,0.526491413538019,197,Formal volunteer flag,Volunteer rate,AB,NA,NA
Age group,75 years and over,2018,fv1fvol,0.35404906182498685,16.262866427431568,0.24119722455822667,0.46690089909174703,117,Formal volunteer flag,Volunteer rate,AB,NA,NA
Age group,15 to 24 years,2018,fv1fvol,0.4977592816417241,9.621512875422253,0.4038927386845079,0.5916258245989403,194,Formal volunteer flag,Volunteer rate,AT,NA,NA
Age group,25 to 34 years,2018,fv1fvol,0.3884772003241929,8.691609193513333,0.3222991730694806,0.45465522757890525,363,Formal volunteer flag,Volunteer rate,AT,NA,NA
Age group,35 to 44 years,2018,fv1fvol,0.5282320926191852,5.061633246071541,0.4758281999864974,0.5806359852518731,594,Formal volunteer flag,Volunteer rate,AT,NA,NA
Age group,45 to 54 years,2018,fv1fvol,0.4610947478504549,5.008182560738014,0.4158343447056284,0.5063551509952814,678,Formal volunteer flag,Volunteer rate,AT,NA,NA
Age group,55 to 64 years,2018,fv1fvol,0.3907976113089098,4.977008661771631,0.35267625111963247,0.4289189714981871,936,Formal volunteer flag,Volunteer rate,AT,NA,NA
Age group,65 to 74 years,2018,fv1fvol,0.4719105377251673,4.491253216622685,0.4303696945398161,0.5134513809105185,835,Formal volunteer flag,Volunteer rate,AT,NA,NA
Age group,75 years and over,2018,fv1fvol,0.33816049807020476,7.836160872918225,0.2862238031873099,0.39009719295309964,448,Formal volunteer flag,Volunteer rate,AT,NA,NA
Age group,15 to 24 years,2018,fv1fvol,0.4667204130747077,11.02131136157887,0.3659023942340035,0.5675384319154119,125,Formal volunteer flag,Volunteer rate,BC,NA,NA
Age group,25 to 34 years,2018,fv1fvol,0.3338079576921748,10.827028641173067,0.2629719523000555,0.4046439630842941,245,Formal volunteer flag,Volunteer rate,BC,NA,NA
Age group,35 to 44 years,2018,fv1fvol,0.48251768659926414,7.282690682056899,0.41364402181383986,0.5513913513846884,326,Formal volunteer flag,Volunteer rate,BC,NA,NA
Age group,45 to 54 years,2018,fv1fvol,0.49140277451581077,7.992056771025123,0.41442873907892136,0.5683768099527002,350,Formal volunteer flag,Volunteer rate,BC,NA,NA
Age group,55 to 64 years,2018,fv1fvol,0.47121926400128905,6.430161510644719,0.41183204217615244,0.5306064858264257,437,Formal volunteer flag,Volunteer rate,BC,NA,NA
Age group,65 to 74 years,2018,fv1fvol,0.44157589059618335,7.141275333444429,0.3797700920120829,0.5033816891802838,431,Formal volunteer flag,Volunteer rate,BC,NA,NA
Age group,75 years and over,2018,fv1fvol,0.3538366934702579,10.10355962905608,0.283767782450674,0.4239056044898418,263,Formal volunteer flag,Volunteer rate,BC,NA,NA
Age group,15 to 24 years,2018,fv1fvol,0.5451546400609232,7.097408601602923,0.4693200030269665,0.6209892770948798,226,Formal volunteer flag,Volunteer rate,ON,NA,NA
Age group,25 to 34 years,2018,fv1fvol,0.3836299184421909,7.186441568057002,0.32959500510884054,0.4376648317755413,509,Formal volunteer flag,Volunteer rate,ON,NA,NA
Age group,35 to 44 years,2018,fv1fvol,0.4429603503834798,5.424407972922316,0.39586638169845856,0.49005431906850105,677,Formal volunteer flag,Volunteer rate,ON,NA,NA
Age group,45 to 54 years,2018,fv1fvol,0.4155394311791452,5.10656052185794,0.37394944123013274,0.4571294211281577,727,Formal volunteer flag,Volunteer rate,ON,NA,NA
Age group,55 to 64 years,2018,fv1fvol,0.36278722293463894,5.583869057824925,0.32308312808521367,0.4024913177840642,917,Formal volunteer flag,Volunteer rate,ON,NA,NA
Age group,65 to 74 years,2018,fv1fvol,0.398772397007857,5.20639048326485,0.35808031441786337,0.4394644795978506,795,Formal volunteer flag,Volunteer rate,ON,NA,NA
Age group,75 years and over,2018,fv1fvol,0.31966369830543995,7.044277518648087,0.2755292331528783,0.3637981634580016,495,Formal volunteer flag,Volunteer rate,ON,NA,NA
Age group,15 to 24 years,2018,fv1fvol,0.6312261671747249,7.411572501356933,0.5395316334599858,0.722920700889464,138,Formal volunteer flag,Volunteer rate,PR,NA,NA
Age group,25 to 34 years,2018,fv1fvol,0.5412556175612883,6.225960149940595,0.4752080474681751,0.6073031876544015,302,Formal volunteer flag,Volunteer rate,PR,NA,NA
Age group,35 to 44 years,2018,fv1fvol,0.6014954458245426,6.036622501540852,0.5303291350665927,0.6726617565824925,316,Formal volunteer flag,Volunteer rate,PR,NA,NA
Age group,45 to 54 years,2018,fv1fvol,0.41841672855889117,8.254746739888722,0.3507210596362177,0.48611239748156465,319,Formal volunteer flag,Volunteer rate,PR,NA,NA
Age group,55 to 64 years,2018,fv1fvol,0.5051221981779089,5.899568173109387,0.4467152156991713,0.5635291806566466,428,Formal volunteer flag,Volunteer rate,PR,NA,NA
Age group,65 to 74 years,2018,fv1fvol,0.4544379375243755,6.7739048462973965,0.39410398698742694,0.514771888061324,389,Formal volunteer flag,Volunteer rate,PR,NA,NA
Age group,75 years and over,2018,fv1fvol,0.3363745047505094,10.414790515397687,0.2677116744360486,0.4050373350649702,261,Formal volunteer flag,Volunteer rate,PR,NA,NA
Age group,15 to 24 years,2018,fv1fvol,0.5040283577624358,13.41065143519378,0.3715475592325891,0.6365091562922826,88,Formal volunteer flag,Volunteer rate,QC,NA,NA
Age group,25 to 34 years,2018,fv1fvol,0.30098668266712697,11.185906902669359,0.23499843861822567,0.36697492671602827,222,Formal volunteer flag,Volunteer rate,QC,NA,NA
Age group,35 to 44 years,2018,fv1fvol,0.37377036378082784,8.036505166597465,0.3148968194068459,0.4326439081548098,352,Formal volunteer flag,Volunteer rate,QC,NA,NA
Age group,45 to 54 years,2018,fv1fvol,0.3117880327635373,9.1441267339721,0.2559088855746254,0.3676671799524492,294,Formal volunteer flag,Volunteer rate,QC,NA,NA
Age group,55 to 64 years,2018,fv1fvol,0.2557563028488876,8.72515846207212,0.2120194268464228,0.2994931788513524,443,Formal volunteer flag,Volunteer rate,QC,NA,NA
Age group,65 to 74 years,2018,fv1fvol,0.2935244892185719,9.259872495043494,0.2402526809695369,0.3467962974676069,372,Formal volunteer flag,Volunteer rate,QC,NA,NA
Age group,75 years and over,2018,fv1fvol,0.22169683693065498,13.089402846554183,0.16482104957131236,0.2785726242899976,242,Formal volunteer flag,Volunteer rate,QC,NA,NA
Gender,Male gender,2018,fv1fvol,0.400621486633928,6.120380457695737,0.3525640337296742,0.4486789395381818,673,Formal volunteer flag,Volunteer rate,AB,NA,NA
Gender,Female gender,2018,fv1fvol,0.5151399927151954,4.988835823233155,0.4647699208411964,0.5655100645891944,739,Formal volunteer flag,Volunteer rate,AB,NA,NA
Gender,Male gender,2018,fv1fvol,0.4179678026249541,3.6970086695035755,0.3876818395852531,0.4482537656646551,1770,Formal volunteer flag,Volunteer rate,AT,NA,NA
Gender,Female gender,2018,fv1fvol,0.46683546047451563,3.3341716399882984,0.43632843382263203,0.4973424871263992,2278,Formal volunteer flag,Volunteer rate,AT,NA,NA
Gender,Male gender,2018,fv1fvol,0.3958576659347772,5.408692014262726,0.3538934219998648,0.43782190986968966,941,Formal volunteer flag,Volunteer rate,BC,NA,NA
Gender,Female gender,2018,fv1fvol,0.4808508770277601,4.050293623742559,0.4426788685328104,0.5190228855227098,1236,Formal volunteer flag,Volunteer rate,BC,NA,NA
Gender,Male gender,2018,fv1fvol,0.3986686163910481,4.0809713100319005,0.3667808807066825,0.4305563520754137,1945,Formal volunteer flag,Volunteer rate,ON,NA,NA
Gender,Female gender,2018,fv1fvol,0.43129945175396267,3.0232179776569827,0.40574324114055393,0.4568556623673714,2401,Formal volunteer flag,Volunteer rate,ON,NA,NA
Gender,Male gender,2018,fv1fvol,0.4752975257974732,4.536449975954788,0.43303749873994046,0.5175575528550059,980,Formal volunteer flag,Volunteer rate,PR,NA,NA
Gender,Female gender,2018,fv1fvol,0.5573894513712258,3.2405225066831864,0.5219879338761083,0.5927909688663432,1173,Formal volunteer flag,Volunteer rate,PR,NA,NA
Gender,Male gender,2018,fv1fvol,0.2986459365295557,6.368706007678158,0.26136765340451207,0.3359242196545993,933,Formal volunteer flag,Volunteer rate,QC,NA,NA
Gender,Female gender,2018,fv1fvol,0.35062289571195626,5.584297293194892,0.31224714413420873,0.3889986472897038,1080,Formal volunteer flag,Volunteer rate,QC,NA,NA
Education,Less than High School,2018,fv1fvol,0.3920503434991948,13.414994186072771,0.2889689173370815,0.4951317696613081,109,Formal volunteer flag,Volunteer rate,AB,NA,NA
Education,Graduated from High school,2018,fv1fvol,0.3123324315822212,11.806177721180127,0.24005969660626814,0.3846051665581742,303,Formal volunteer flag,Volunteer rate,AB,NA,NA
Education,Post-secondary diploma,2018,fv1fvol,0.48396104926400096,6.3788124355718665,0.42345506461229654,0.5444670339157054,488,Formal volunteer flag,Volunteer rate,AB,NA,NA
Education,University Diploma,2018,fv1fvol,0.5527628673952372,6.367684974129821,0.4837756668971257,0.6217500678933486,395,Formal volunteer flag,Volunteer rate,AB,NA,NA
Education,Less than High School,2018,fv1fvol,0.3142971417124144,10.471599449943923,0.2497909290360072,0.3788033543888216,419,Formal volunteer flag,Volunteer rate,AT,NA,NA
Education,Graduated from High school,2018,fv1fvol,0.37589812771954706,6.108070378876289,0.3308971151386914,0.4208991403004027,891,Formal volunteer flag,Volunteer rate,AT,NA,NA
Education,Post-secondary diploma,2018,fv1fvol,0.4276864692134858,4.318995245564915,0.3914824882706963,0.4638904501562753,1321,Formal volunteer flag,Volunteer rate,AT,NA,NA
Education,University Diploma,2018,fv1fvol,0.6255997229740837,3.4248165521255527,0.5836062346180287,0.6675932113301387,954,Formal volunteer flag,Volunteer rate,AT,NA,NA
Education,Less than High School,2018,fv1fvol,0.3672066123868307,12.731525680638237,0.2755763279979675,0.45883689677569395,178,Formal volunteer flag,Volunteer rate,BC,NA,NA
Education,Graduated from High school,2018,fv1fvol,0.3379949141145508,8.820478485788232,0.27956296121736374,0.39642686701173785,457,Formal volunteer flag,Volunteer rate,BC,NA,NA
Education,Post-secondary diploma,2018,fv1fvol,0.4189528403507394,6.021416162300512,0.36950903658799017,0.4683966441134886,682,Formal volunteer flag,Volunteer rate,BC,NA,NA
